Seq,1:EventCounter,1:Sync,1:Aux,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:EventCounter,2:Sync,2:Aux,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy,3:EventCounter,3:Sync,3:Aux,3:Fx,3:Fy,3:Fz,3:Mx,3:My,3:Mz,3:COPx,3:COPy,4:EventCounter,4:Sync,4:Aux,4:Fx,4:Fy,4:Fz,4:Mx,4:My,4:Mz,4:COPx,4:COPy
4716.000000,2433378.000000,255.000000,255.000000,-5.842077,-7.963294,0.300115,-0.925416,0.507928,-0.578236,0.000000,0.000000,2433378.000000,248.000000,255.000000,1.347994,-13.279973,-0.476962,-0.331078,0.075941,0.769441,0.000000,0.000000,2433378.000000,255.000000,255.000000,3.107823,-12.615862,-2.194406,3.102610,-0.308390,2.402003,0.000000,0.000000,2433378.000000,192.000000,255.000000,-2.500197,-8.900916,-0.014146,-0.357668,0.419361,-6.312422,0.000000,0.000000
4717.000000,2433379.000000,255.000000,255.000000,-5.695518,-7.692526,-0.121075,-0.811381,0.493026,-0.896989,0.000000,0.000000,2433379.000000,248.000000,255.000000,1.395103,-12.870546,-0.697981,-0.338074,0.012389,0.660438,0.000000,0.000000,2433379.000000,255.000000,255.000000,3.103266,-12.558521,-2.459899,3.070664,-0.192677,2.227345,0.000000,0.000000,2433379.000000,192.000000,255.000000,-2.617977,-8.538355,0.242967,-0.645078,0.280819,-6.156482,0.000000,0.000000
4718.000000,2433380.000000,255.000000,255.000000,-5.860694,-7.229085,-0.410184,-0.701598,0.529983,-0.483336,0.000000,0.000000,2433380.000000,248.000000,255.000000,1.438820,-12.459267,-0.664392,-0.400743,0.041013,0.742243,0.000000,0.000000,2433380.000000,255.000000,255.000000,2.382628,-11.926414,-2.544799,2.982679,-0.231463,2.362732,0.000000,0.000000,2433380.000000,192.000000,255.000000,-3.122584,-8.560135,2.363408,-1.284518,0.525859,-5.966024,0.000000,0.000000
4719.000000,2433381.000000,255.000000,255.000000,-6.482543,-7.313245,-0.524194,-0.736210,0.461570,-0.611080,0.000000,0.000000,2433381.000000,248.000000,255.000000,0.806729,-12.426016,-0.739219,-0.373699,0.041889,0.765688,0.000000,0.000000,2433381.000000,255.000000,255.000000,2.605703,-11.920150,-2.494639,3.153335,-0.242387,2.315355,0.000000,0.000000,2433381.000000,192.000000,255.000000,-3.081914,-10.219541,9.544378,-3.648524,1.741852,-5.865716,-0.182500,-0.382269
4720.000000,2433382.000000,255.000000,255.000000,-6.543979,-8.800905,-0.403000,-0.789942,0.493761,-0.715198,0.000000,0.000000,2433382.000000,248.000000,255.000000,0.706073,-14.044806,-0.483001,-0.288817,0.032323,1.013182,0.000000,0.000000,2433382.000000,255.000000,255.000000,2.420506,-12.034828,-2.320600,3.203116,-0.262405,2.375561,0.000000,0.000000,2433382.000000,192.000000,255.000000,-4.550772,-12.904792,25.007915,-8.568805,3.975206,-6.070565,-0.158958,-0.342644
4721.000000,2433383.000000,255.000000,255.000000,-7.329037,-11.383239,-0.278893,-0.885251,0.548630,-1.005724,0.000000,0.000000,2433383.000000,248.000000,255.000000,0.325809,-17.110680,-0.637867,-0.345936,-0.008387,1.178864,0.000000,0.000000,2433383.000000,255.000000,255.000000,2.438388,-12.575094,-2.375207,3.116470,-0.336033,2.501350,0.000000,0.000000,2433383.000000,192.000000,255.000000,-9.012069,-17.223595,51.455849,-16.490376,7.504860,-6.754488,-0.145850,-0.320476
4722.000000,2433384.000000,255.000000,255.000000,-7.875431,-15.809014,-0.868426,-0.910385,0.487288,-1.590652,0.000000,0.000000,2433384.000000,248.000000,255.000000,-1.156946,-22.669710,-0.807567,-0.502861,0.053868,1.736244,0.000000,0.000000,2433384.000000,255.000000,255.000000,2.945399,-13.437998,-2.738585,3.108349,-0.211294,2.389975,0.000000,0.000000,2433384.000000,192.000000,255.000000,-15.500122,-25.775555,90.688301,-26.209517,11.193235,-7.156309,-0.123425,-0.289007
4723.000000,2433385.000000,255.000000,255.000000,-8.765913,-20.495386,-0.811207,-0.981321,0.525838,-1.912236,0.000000,0.000000,2433385.000000,248.000000,255.000000,-1.212988,-30.028168,-1.781295,-0.806612,0.195637,2.268114,0.000000,0.000000,2433385.000000,255.000000,255.000000,2.789997,-15.134611,-2.626085,3.070360,-0.264247,2.233556,0.000000,0.000000,2433385.000000,192.000000,255.000000,-23.088165,-34.992317,128.695648,-33.270138,13.042963,-6.578140,-0.101347,-0.258518
4724.000000,2433386.000000,255.000000,255.000000,-9.386781,-25.462908,-0.765355,-1.029142,0.641283,-1.912312,0.000000,0.000000,2433386.000000,248.000000,255.000000,-1.079466,-37.126339,-2.170342,-1.224582,0.313148,2.673428,0.000000,0.000000,2433386.000000,255.000000,255.000000,3.117928,-16.815422,-2.990748,3.002350,-0.212588,2.359068,0.000000,0.000000,2433386.000000,192.000000,255.000000,-29.311285,-42.916824,166.133575,-37.813717,13.127917,-6.013311,-0.079020,-0.227610
4725.000000,2433387.000000,255.000000,255.000000,-9.927288,-30.820477,-0.305753,-1.255344,0.689658,-1.966388,0.000000,0.000000,2433387.000000,248.000000,255.000000,-0.748407,-44.239388,-2.372175,-1.358363,0.231565,2.952845,0.000000,0.000000,2433387.000000,255.000000,255.000000,3.127279,-18.803661,-3.072073,3.072494,-0.328127,2.417316,0.000000,0.000000,2433387.000000,192.000000,255.000000,-30.962610,-51.605904,196.796814,-38.437744,11.360813,-4.893505,-0.057729,-0.195317
4726.000000,2433388.000000,255.000000,255.000000,-10.079889,-34.299683,-0.342922,-1.269594,0.751884,-1.674397,0.000000,0.000000,2433388.000000,248.000000,255.000000,0.602210,-48.910004,-2.531272,-1.562914,0.158194,2.145306,0.000000,0.000000,2433388.000000,255.000000,255.000000,3.129083,-20.470697,-3.395530,3.114915,-0.252481,2.382696,0.000000,0.000000,2433388.000000,192.000000,255.000000,-28.608171,-58.269676,214.742462,-36.576015,9.378568,-3.878546,-0.043674,-0.170325
4727.000000,2433389.000000,255.000000,255.000000,-10.075888,-37.030079,-0.483924,-1.322159,0.883962,-0.892406,0.000000,0.000000,2433389.000000,248.000000,255.000000,2.505702,-51.498299,-2.361783,-1.401389,0.194107,1.464986,0.000000,0.000000,2433389.000000,255.000000,255.000000,3.145353,-21.866268,-3.516217,3.331484,-0.177476,2.344005,0.000000,0.000000,2433389.000000,192.000000,255.000000,-22.400488,-62.819180,222.104279,-33.403816,7.610038,-3.282822,-0.034263,-0.150397
4728.000000,2433390.000000,255.000000,255.000000,-9.498976,-36.578091,-0.861113,-1.291732,0.856904,0.036228,0.000000,0.000000,2433390.000000,248.000000,255.000000,3.795750,-50.548248,-1.506307,-1.171798,0.096543,0.619909,0.000000,0.000000,2433390.000000,255.000000,255.000000,3.162895,-21.859293,-2.986604,3.466403,-0.203580,2.355023,0.000000,0.000000,2433390.000000,192.000000,255.000000,-13.594061,-61.768394,212.441635,-29.218088,6.797614,-3.912771,-0.031998,-0.137535
